"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/26/2014","AQS","090030025","1","9.3","ug/m3 LC","39","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"09/29/2014","AQS","090030025","1","14.4","ug/m3 LC","56","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/02/2014","AQS","090030025","1","3","ug/m3 LC","13","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/05/2014","AQS","090030025","1","4.5","ug/m3 LC","19","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/08/2014","AQS","090030025","1","7.3","ug/m3 LC","30","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/11/2014","AQS","090030025","1","5.8","ug/m3 LC","24","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/14/2014","AQS","090030025","1","7.5","ug/m3 LC","31","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/17/2014","AQS","090030025","1","11.2","ug/m3 LC","47","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/20/2014","AQS","090030025","1","7.7","ug/m3 LC","32","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/23/2014","AQS","090030025","1","1","ug/m3 LC","4","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/26/2014","AQS","090030025","1","3.4","ug/m3 LC","14","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"10/29/2014","AQS","090030025","1","11.2","ug/m3 LC","47","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/01/2014","AQS","090030025","1","3.1","ug/m3 LC","13","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/04/2014","AQS","090030025","1","12.1","ug/m3 LC","51","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/07/2014","AQS","090030025","1","2.6","ug/m3 LC","11","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/10/2014","AQS","090030025","1","15.6","ug/m3 LC","58","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/13/2014","AQS","090030025","1","4.7","ug/m3 LC","20","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/16/2014","AQS","090030025","1","18","ug/m3 LC","63","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/19/2014","AQS","090030025","1","9","ug/m3 LC","38","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/22/2014","AQS","090030025","1","13.6","ug/m3 LC","54","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/25/2014","AQS","090030025","1","8.3","ug/m3 LC","35","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"11/28/2014","AQS","090030025","1","4.5","ug/m3 LC","19","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/01/2014","AQS","090030025","1","10.7","ug/m3 LC","45","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/04/2014","AQS","090030025","1","8.8","ug/m3 LC","37","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/07/2014","AQS","090030025","1","5.7","ug/m3 LC","24","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/10/2014","AQS","090030025","1","0.2","ug/m3 LC","1","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/13/2014","AQS","090030025","1","3.8","ug/m3 LC","16","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/16/2014","AQS","090030025","1","17.9","ug/m3 LC","63","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
"12/19/2014","AQS","090030025","1","3.1","ug/m3 LC","13","Huntley Place-Hartford","1","100.0000","88101","PM2.5 - Local Conditions","25540","Hartford-West Hartford-East Hartford, CT","09","Connecticut","003","Hartford","41.771444","-72.679923"
